Dataset,Model,encoder,online,use_backprop,ukf,ukf_mode,models,size,dim,lr,levels,epochs,Gaussian,Poisson,MissingP,trial,MAE,RMSE
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,1,20,1000,0.001,6,1,0.0,0.0,0.0,0,0.14146289229393005,0.17598049342632294
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,1,20,1000,0.001,6,1,0.0,0.0,0.0,1,0.14123737812042236,0.1758418083190918
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,4,20,1000,0.001,6,1,0.0,0.0,0.0,0,0.1831270009279251,0.21732720732688904
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,4,20,1000,0.001,6,1,0.0,0.0,0.0,1,0.18422526121139526,0.21841444075107574
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,8,20,1000,0.001,6,1,0.0,0.0,0.0,0,0.21032191812992096,0.24341560900211334
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,8,20,1000,0.001,6,1,0.0,0.0,0.0,1,0.2107270210981369,0.24387513101100922
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,16,20,1000,0.001,6,1,0.0,0.0,0.0,0,0.24087731540203094,0.2769545316696167
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,16,20,1000,0.001,6,1,0.0,0.0,0.0,1,0.24062901735305786,0.2764163911342621
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,1,20,1000,0.001,6,30,0.0,0.0,0.0,0,0.07514696568250656,0.09944536536931992
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,1,20,1000,0.001,6,30,0.0,0.0,0.0,1,0.07631244510412216,0.09843919426202774
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,4,20,1000,0.001,6,30,0.0,0.0,0.0,0,0.051707006990909576,0.07125508040189743
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,4,20,1000,0.001,6,30,0.0,0.0,0.0,1,0.052911389619112015,0.0727958232164383
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,8,20,1000,0.001,6,30,0.0,0.0,0.0,0,0.05090879276394844,0.07139076292514801
