Dataset,Model,encoder,online,use_backprop,ukf,ukf_mode,models,Gaussian,Poisson,MissingP,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,1,0.0,0.0,0.0,0.0757297053933143,0.0008241184023577664,0.0989422798156738,0.0007114704130002941,2
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,4,0.0,0.0,0.0,0.052309198305010754,0.0008516271235452623,0.07202545180916785,0.001089469692226311,2
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,8,0.0,0.0,0.0,0.0517662484198808,0.001212625417753124,0.0721450001001358,0.001066652442113711,2
MetroInterstateTrafficVolume,GradHD,nonlinear,0,True,False,ukf,16,0.0,0.0,0.0,0.05301491729915135,0.0014180175472588506,0.0726588480174541,0.0013937910118992213,2
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,1,0.0,0.0,0.0,0.14135013520717615,0.00015946260134096758,0.17591115087270737,9.806517977271287e-05,2
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,4,0.0,0.0,0.0,0.18367613106966016,0.0007765872939495664,0.21787082403898234,0.0007687901269750805,2
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,8,0.0,0.0,0.0,0.2105244696140289,0.00028645105590433055,0.24364537000656122,0.000324931128594767,2
MetroInterstateTrafficVolume,GradHD,nonlinear,1,False,False,ukf,16,0.0,0.0,0.0,0.24075316637754435,0.0001755732341842568,0.2766854614019394,0.0003805228217806068,2
MetroInterstateTrafficVolume,UKFHD,nonlinear,1,False,False,kf,1,0.0,0.0,0.0,0.4487793445587158,5.984852488605831e-06,0.5243195593357086,5.521237154927118e-06,2
MetroInterstateTrafficVolume,UKFHD,nonlinear,1,False,False,ukf,1,0.0,0.0,0.0,0.2627093195915222,0.012684641968384182,0.3068042993545532,0.017607562461850648,2
