TimeSeries Dataset,Model,Models,Novelty,Lr,hd_bites,Noise,Level Noise,MAE
MetroInterstateTrafficVolume,GradHD,1,0.2,0.001,1,Poisson,0.0,0.12774500250816345
MetroInterstateTrafficVolume,GradHD,4,0.2,0.001,1,Poisson,0.0,0.05938097462058067
MetroInterstateTrafficVolume,KalmanHD,1,0.2,1e-05,2,Poisson,0.0,1.0721005761543967
MetroInterstateTrafficVolume,GradHD,1,0.2,0.001,1,Poisson,0.0,0.12774500250816345
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.43491312861442566
MetroInterstateTrafficVolume,GradHD,1,0.2,0.001,1,Poisson,0.0,0.14146289229393005
MetroInterstateTrafficVolume,GradHD,1,0.2,0.001,1,Poisson,0.0,0.14123737812042236
MetroInterstateTrafficVolume,GradHD,4,0.2,0.001,1,Poisson,0.0,0.1831270009279251
MetroInterstateTrafficVolume,GradHD,4,0.2,0.001,1,Poisson,0.0,0.18422526121139526
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.0,0.21032191812992096
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.0,0.2107270210981369
MetroInterstateTrafficVolume,GradHD,16,0.2,0.001,1,Poisson,0.0,0.24087731540203094
MetroInterstateTrafficVolume,GradHD,16,0.2,0.001,1,Poisson,0.0,0.24062901735305786
MetroInterstateTrafficVolume,GradHD,1,0.2,0.001,1,Poisson,0.0,0.07514696568250656
MetroInterstateTrafficVolume,GradHD,1,0.2,0.001,1,Poisson,0.0,0.07631244510412216
MetroInterstateTrafficVolume,GradHD,4,0.2,0.001,1,Poisson,0.0,0.051707006990909576
MetroInterstateTrafficVolume,GradHD,4,0.2,0.001,1,Poisson,0.0,0.052911389619112015
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.0,0.05090879276394844
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.0,0.05262370407581329
MetroInterstateTrafficVolume,GradHD,16,0.2,0.001,1,Poisson,0.0,0.05201222747564316
MetroInterstateTrafficVolume,GradHD,16,0.2,0.001,1,Poisson,0.0,0.05401760712265968
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.4487835764884949
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.44877511262893677
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.27167871594429016
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.2537399232387543
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.44983041286468506
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.43491312861442566
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.45030301809310913
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.44725802540779114
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.4493783116340637
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.0,0.32005617022514343
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.2,0.44904622435569763
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.001,1,Poisson,0.2,0.3995395600795746
MetroInterstateTrafficVolume,GradHD,1,0.2,0.001,1,Poisson,0.0,0.07514696568250656
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.0001,1,Poisson,0.0,0.3957032561302185
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.0,0.050908707082271576
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.0,0.17344699800014496
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.0,0.21750794351100922
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.0,0.13002429902553558
MetroInterstateTrafficVolume,GradHD,8,0.2,0.001,1,Poisson,0.2,0.20381572842597961
MetroInterstateTrafficVolume,UKFHD,1,0.2,0.0001,1,Poisson,0.0,0.3957032561302185
MetroInterstateTrafficVolume,GradHD,1,0.2,0.001,1,Poisson,0.0,0.14146289229393005
